"","TaxonID","Class","Thermo","CommonName","TaxonName","Mass_kg","Temp","Class_or_species","MSMR_W_g","Average_Lifespan_years","Lifespan","age_first_reproduction_years","PrimaryDiet","TrophicLevel","Subspecies","Reference_Body_Temperature","Notes_Temp","Reference_Body_mass","Notes_mass","Reference_metabolic_rate","Notes_MR","Reference_age_first_reproduction","Notes_age_first_reproduction","Ref_PrimaryDiet","Phenology","Reference_average_lifespan","Notes_avg_lifespan","Reference_lifespan","Notes_lifespan"
"1",12123,"Amphibia","Ectotherm","Marbled salamander","Ambystoma opacum",NA,NA,"",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","",""
"2",12122,"Amphibia","Ectotherm","Mole salamander","Ambystoma talpoideum",NA,NA,"",NA,NA,9,2,"",NA,"","","","","","","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","","","","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.",""
"3",12121,"Amphibia","Ectotherm","Eastern tiger salamander","Ambystoma tigrinum tigrinum",NA,NA,"",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","",""
"4",12110,"Amphibia","Ectotherm","Common toad","Bufo bufo",0.04,NA,"",NA,NA,NA,4,"Carnivore",NA,"","Cvetkovi_, D., Toma_evi_, N., Ficetola, G. F., Crnobrnja_Isailovi_, J., & Miaud, C. (2009). Bergmannês rule in amphibians: combining demographic and ecological parameters to explain body size variation among populations in the common toad Bufo bufo. Journal of Zoological Systematics and Evolutionary Research, 47(2), 171-180.","Avg temperature during active period. Ger 1. Table 1","Gittins, S. P., Parker, A. G., & Slater, F. M. (1980). Population characteristics of the common toad (Bufo bufo) visiting a breeding site in mid-Wales. The Journal of Animal Ecology, 161-173.","Table 4. Females","","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","http://eol.org/pages/333310/details","Invertebrates","","","",""
"5",12133,"Amphibia","Ectotherm","Yosemite toad","Bufo canorus",NA,NA,"",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","",""
"6",12132,"Amphibia","Ectotherm","Southern toad","Bufo terrestris",0.052786301,NA,"",NA,NA,NA,NA,"Carnivore",NA,"","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","","","","","http://eol.org/pages/1039184/details","Invertebrates","","","",""
"7",12120,"Amphibia","Ectotherm","Seepage salamander","Desmognathus aeneus",NA,NA,"",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","",""
"8",12119,"Amphibia","Ectotherm","Seal salamander","Desmognathus monticola",NA,NA,"",NA,NA,NA,4.498630137,"",NA,"","Lynnette M. Sievert and Paul T. Andreadis (2002) Differing Diel Patterns of Temperature Selection in Two Sympatric Desmognathus. Copeia: February 2002, Vol. 2002, No. 1, pp. 62-66.","Mean temperatures selected by D. monticola were 14.0 ± 1.5 C from 1200_1600 h and 19.7 ± 1.6 C from 2000_0000 h.","","","","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","","","","","",""
"9",12118,"Amphibia","Ectotherm","Mountain dusky salamander","Desmognathus ochrophaeus",0.001643836,NA,"",NA,NA,NA,3.506849315,"Carnivore",NA,"","Beachy, C. K. (1995). Effects of larval growth history on metamorphosis in a stream-dwelling salamander (Desmognathus ochrophaeus). Journal of Herpetology, 375-382.","Mean summer temperature in Buck creek, North Carolina","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","","","de Magalhaes, J. P., and Costa, J. (2009) ""A database of vertebrate longevity records and their relation to other life-history traits."" Journal of Evolutionary Biology 22(8):1770-1774.","","http://eol.org/pages/331056/details","Invertebrates","","","",""
"10",12117,"Amphibia","Ectotherm","Blackbelly salamander","Desmognathus quadramaculatus",NA,NA,"",NA,NA,NA,NA,"",NA,"","","","","","","","","","","","","","",""
